index,src_out_result,src_ref_result,out_ref_result,HTER
351,[0.74680135],[0.74680135],[1.],20.0
352,[0.28193231],[0.25411304],[0.7681445],23.80952381
353,[0.33719144],[0.34430787],[0.8682245],10.71428571
354,[0.41723113],[0.1011063],[0.01884956],45.0
355,[0.083527],[0.083527],[1.],6.666666667
356,[0.13511586],[0.09006027],[0.61029907],7.407407407
357,[0.2069393],[0.13074134],[0.28862404],6.060606061
358,[0.44643069],[0.34463967],[0.47327618],26.92307692
359,[0.35052387],[0.132066],[0.35190413],6.666666667
360,[0.05936873],[0.15506903],[0.24096576],10.0
361,[0.13539118],[0.18388858],[0.89779785],23.52941176
362,[0.0490524],[0.0490524],[1.],23.07692308
363,[0.35126706],[0.34413812],[0.90955166],18.18181818
364,[0.3250774],[0.3250774],[1.],27.27272727
365,[0.04870651],[0.07907212],[0.4289431],10.25641026
366,[0.17409142],[0.22274247],[0.21921962],9.090909091
367,[0.30416237],[0.68049536],[0.24719642],33.33333333
368,[0.28550687],[0.22028636],[0.42753436],8.0
369,[0.26582771],[0.12992629],[0.19012152],17.94871795
370,[0.5369797],[0.60388717],[0.48142415],23.07692308
371,[0.41019215],[0.2789993],[0.51643072],11.53846154
372,[0.63703704],[0.64379085],[0.72614379],9.090909091
373,[0.19215086],[0.14342196],[0.11571653],0.0
374,[0.48564917],[0.15184371],[0.36397232],5.0
375,[0.23116883],[0.34837093],[0.26689451],12.5
376,[0.4398946],[0.36100132],[0.53797101],15.78947368
377,[0.16158309],[0.16708633],[0.26698834],6.52173913
378,[0.33952528],[0.26535948],[0.4376333],9.090909091
379,[0.24817499],[0.23755954],[0.39439595],7.407407407
380,[0.06364764],[0.01746377],[0.18842958],12.76595745
381,[0.30239036],[0.41870883],[0.36630905],25.0
382,[0.15331466],[0.27938022],[0.326005],3.703703704
383,[0.51114149],[0.42128047],[0.69487355],7.692307692
384,[0.57264957],[0.46080586],[0.69084249],12.5
385,[0.29289891],[0.23820663],[0.45831245],11.76470588
386,[0.26154987],[0.23670745],[0.43062662],33.33333333
387,[0.11046085],[0.31979538],[0.12559509],16.92307692
388,[0.32963211],[0.20374582],[0.43950948],10.52631579
389,[0.4188069],[0.36179529],[0.34811378],9.523809524
390,[0.32450344],[0.23965201],[0.45747729],14.70588235
391,[0.45096179],[0.23878788],[0.39667984],11.11111111
392,[0.16117264],[0.29441361],[0.12687413],42.85714286
393,[0.22473648],[0.47000036],[0.21133603],8.0
394,[0.08873084],[0.09300278],[0.38775768],38.46153846
395,[0.08013468],[0.08956229],[0.92861953],57.14285714
396,[0.5535014],[0.5535014],[1.],0.0
397,[0.05589754],[0.14531408],[0.30689512],10.0
398,[0.29021182],[0.33855072],[0.60615385],7.142857143
399,[-0.07122349],[0.15594271],[0.18518861],21.875
400,[0.25603582],[0.26287342],[0.90707367],21.05263158
401,[0.26590987],[0.49184727],[0.32741658],40.0
402,[0.1178955],[0.21304386],[0.24212187],8.823529412
403,[0.11290606],[0.08055199],[0.50580868],8.620689655
404,[0.19944131],[0.2486409],[0.18981039],6.666666667
405,[0.39231332],[0.24938047],[0.32492492],25.0
406,[0.71963241],[0.42946255],[0.42021721],13.33333333
407,[0.39566563],[0.35190918],[0.53023736],23.07692308
408,[0.19281403],[0.36037645],[0.14354325],16.66666667
409,[0.35921823],[0.22094474],[0.43850267],8.0
410,[0.16184119],[0.31897421],[0.31268613],10.71428571
411,[0.04992594],[0.01595076],[0.50045752],24.13793103
412,[0.03956325],[0.22734481],[0.26178547],5.263157895
413,[0.50486376],[0.15755878],[0.29009988],9.677419355
414,[0.3352566],[0.11607405],[0.35525946],20.93023256
415,[0.34454318],[0.31373889],[0.37571201],7.142857143
416,[0.24533273],[0.2567189],[0.54925682],3.333333333
417,[0.54743722],[0.34791882],[0.30595115],27.27272727
418,[0.28653491],[0.34245059],[0.30587615],26.66666667
419,[0.38555963],[0.25649166],[0.44621897],19.04761905
420,[0.4869281],[0.34270153],[0.63660131],9.090909091
